id;nome;cep;endereco;
6551;MERCADO LACO;89240000;RUA MARIAMACHADO, SN, SAO FRANCISCO DO SUL, BRASIL;
6933;SUPER NARDELLI;89160117;RUA DOM BOSCO, 1235, RIO DO SUL, BRASIL;
7040;MERCADO DO LULA;88056750;ESTR JORNALISTA JAIME ARRUDA RAMOS, 1216, FLORIANOPOLIS, BRASIL;
7239;MERC ACOU AVENIDA;84620000;RUA LAURO MULLER SOARES, 65, CRUZ MACHADO, BRASIL;
7261;APPELDORN ATACADO;84025000;AV GENERAL CARLOS CAVALCANTI, 4028, PONTA GROSSA, BRASIL;
10141;MERCADO ENGENHO NOVO;88062100;RUA: JOAO PACHECO DA COSTA, 384, FLORIANOPOLIS, BRASIL;
10431;MERC SUPER NORTE II;88052600;EST CRISTOVAO MACHADO DE CAMPOS, 353, FLORIANOPOLIS, BRASIL;
10631;SUPER DRUZIKI MATRIZ;83601010;RUA XAVIER DA SILVA, 1345, CAMPO LARGO, BRASIL;
10761;SUPERMER CORREIA*;88332490;R PEDRO PINTO FELIPE,79, BALNEARIO CAMBORIU, BRASIL;
11581;A GRANDE GULA;82940090;RUA LUIZ FRANCA 1546 LOJA 01, CURITIBA, BRASIL;
11720;ASSIS SUP CAMP TENEN;83870000;RUA MIGUEL KOMARCHEWSKI, 1216, CAMPO DO TENENTE, BRASIL;
11854;MERCADO FERTINE II;83535976;RUA DUQUE DE CAXIAS, 70, CAMPO MAGRO, BRASIL;
12315;SM PRECO BOM 2;83602230;RUA ANTONIO GABARDO JUNIOR, 535, CAMPO LARGO, BRASIL;
15415;SUPERMERCADO SEZINHO;89164420;RUA CLEMENTE DEMARCH, 3928, RIO DO SUL, BRASIL;
15641;MERCADO DICO;88108100;R. JOAO GRUMICHE, 1323, 1323, SAO JOSE, BRASIL;
16224;MERC COMPRE FACIL*;88051001;RODOVIA RAFAEL DA ROCHA PIRES, 2190, FLORIANOPOLIS, BRASIL;
16226;SUPER MARISTELA;88332005;HERMOGENES DE ASSIS FEIJO, 120, BALNEARIO CAMBORIU, BRASIL;
16884;MERCADO ESPACO MAIS*;88040600;RUA CAPITAO ROMUALDO DE BARROS, 916, FLORIANOPOLIS, BRASIL;
17035;MER E PADARIA INOVE*;88061701;ROD JORNALISTA MANOEL DE MENEZES, 3317, FLORIANOPOLIS, BRASIL;
17466;MERCADO DE TUDO-;88210000;AV ALMIRANTE FONSECA NEVES, 127, PORTO BELO, BRASIL;
17553;ADORATTO SUPERMERCAD;82810350;AVENIDA VICTOR FERREIRA DO AMARAL, 2633, CURITIBA, BRASIL;
17575;MERCADO BISS;89249000;AV DRA ZILDA ARNS NEUMAN, 537, ITAPOA, BRASIL;
17619;COMERCIO DE DOCES AN;83215270;AVENIDA GOVERNADOR BENTO MUNHOZ DA ROCHA, PARANAGUA, BRASIL;
17813;MERCADO ECONOMIA;87930000;AV PORTO ALEGRE, 289, QUERENCIA DO NORTE, BRASIL;
17885;MERCADO VERDE MAR;88375000;RUA BERNARDINO F DE OLIVEIRA, 242, NAVEGANTES, BRASIL;
17951;JEAN CARLOS BARBO;83060680;RUA AURORA, 415, SAO JOSE DOS PINHAIS, BRASIL;
17993;QUITANDA DA PRACA;88054605;PRACA FRANCISCO GERMANO DA COSTA, 4921, FLORIANOPOLIS, BRASIL;
18076;COMPRE FACIL;88056750;ESTRADA JORNALISTA JAIME DE ARRUDA RAMOS, FLORIANOPOLIS, BRASIL;
18232;ARMAZEM DA BARRA;88061500;ROD JOAO GUALBERTO SOARES K30479, 17317, FLORIANOPOLIS, BRASIL;
18311;MERCADO LIMA;88062100;RUA JOAO PACHECO DA COSTA, 384, FLORIANOPOLIS, BRASIL;
18362;PACHOLOK ALIMENTOS L;81900220;RUA PEDRO CLAUDINO DA ROCHA, 213, CURITIBA, BRASIL;
3613;SUP BOM DIA AVENIDA;89460000;AV RUBENS RIBEIRO DA SILVA, 465, CANOINHAS, BRASIL;
5079;SUP VITOR*;84062250;RUA DR LAUDELINO GONCALVES, 332, PONTA GROSSA, BRASIL;
6272;SUPER BOZA STA TEREZ;83833251;RUA RIO PIQUIRI, 713, FAZENDA RIO GRANDE, BRASIL;
6273;SUPER BOZA IGUACU;83833505;AV RIO AMAZONAS, 1052, FAZENDA RIO GRANDE, BRASIL;
11468;MERCADO GARCIA*;89130000;"RUA: DOUTOR BLUMENAU; 4266; SALA 01, INDAIAL, BRASIL";
15504;SUPER GIRASSOL;88210000;AV SENADOR ATILIO FONTANA, 795, PORTO BELO, BRASIL;
17201;JUMBO ATACADISTA;81940005;ROD CURITIBA QUATRO BARRAS BR277, 600, CURITIBA, BRASIL;
17406;SUPREMOCAFE;85610000;RUA NILO PECANHA 386, 386, FRANCISCO BELTRAO, BRASIL;
1662;SUP GAIVOTAS*;88190000;RUA DAS PALMEIRAS, 27, GOVERNADOR CELSO RAMOS, BRASIL;
1768;TIELI B. NORTE LJ01;88750000;RUA JORGE LACERDA, 1284, BRACO DO NORTE, BRASIL;
11995;MESCHKE MATRIZ;88330077;RUA AV DO ESTADO. 3103, BALNEARIO CAMBORIU, BRASIL;
12038;MESCHKE PIONEIROS;88331150;RUA AV DO ESTADO,1751, BALNEARIO CAMBORIU, BRASIL;
10679;PRADO SUPERMERCADO;88190000;RODOVIA SC 410, SN, GOVERNADOR CELSO RAMOS, BRASIL;
18060;PRADO SUPERMERCADO;88210000;AV GOVERNADOR CELSO RAMOS, 2262, PORTO BELO, BRASIL;
17266;CRAVIL JOSE BOITEUX;89145000;AVENIDA 26 DE ABRIL, 219, JOSE BOITEUX, BRASIL;
17267;CRAVIL P. GETULIO;89150000;ESTRADA GERAL - KM 28, 0, PRESIDENTE GETULIO, BRASIL;
17268;CRAVIL DONA EMMA;89155000;RUA PREFEITO SIDO SCHOEDER, 130, DONA EMMA, BRASIL;
16758;SUPER SANTOS SAO JOA;88107100;RUA ANTONIO JOVITA DUARTE, 5533, SAO JOSE, BRASIL;
11609;ITALO ATUBA;82620300;AV MARECHAL MASCARENHA DE MORAES, 1463, CURITIBA, BRASIL;
16835;ITALO SUPERMERCADOS;85857188;AV REPUBLICA ARGENTINA, 3496, FOZ DO IGUACU, BRASIL;
14939;SUPERMER BAHNIUK*;84600093;RUA TEIXEIRA SOARES, 390, UNIAO DA VITORIA, BRASIL;
16980;SUPERMERCADO BAHNIUK;84635000;RUA 14 DE DEZEMBRO, 701, PAULO FRONTIN, BRASIL;
17438;SUPERMERCADO MERCOC*;88110470;RUA JOSE ANTONIO THOMAZ, 207, SAO JOSE, BRASIL;
13298;SUP MACRIS SJ BA;88240000;RUA MARCOLINO DUARTE, 241, SAO JOAO BATISTA, BRASIL;
17501;SUPERMERCADOS MACRIS;88240000;RUA LEOBERTO LEAL, 155, SAO JOAO BATISTA, BRASIL;
5389;PANIF PADOCAS;83870000;AV MIGUEL KOMARCHESKI, 574, CAMPO DO TENENTE, BRASIL;
7799;PANIF SUPER PAO;84620000;AVENIDA INTERVENTOR MANOEL RIBAS, 159, CRUZ MACHADO, BRASIL;
11308;PADARIA SANTA HELENA;88111310;RUA DORALICE RAMOS PINHO, 395, SAO JOSE, BRASIL;
11677;PANIF SANTA ISABEL;88034102;R PASTOR WILLIAM RICHARD SCHISLER 2090, FLORIANOPOLIS, BRASIL;
15999;PADARIA PAO E DOCES;89490000;AV.VER JOSE NUNES CAVALHEIRO, 822, TRES BARRAS, BRASIL;
16011;PANIF CARAMELLI;83504000;R PROFESSOR ALFREDO VALENTE, 171, ALMIRANTE TAMANDARE, BRASIL;
16869;CAFE COIMBRA;84600140;RUA PROFESSOR CLETO, 150, UNIAO DA VITORIA, BRASIL;
17485;CAFE SUNRISE-;88062020;RUA HENRIQUE VERA DO NASCIMENTO, 240, FLORIANOPOLIS, BRASIL;
17736;MINI KALZONE -;88139470;RUA HERCILIO NICOLAU DOS SANTOS, 10, PALHOCA, BRASIL;
18085;MERCEARIA E LANCHONE;89240000;AVENIDA ATLANTICA, 0, BALNEARIO BARRA DO SUL, BRASIL;
18112;ALPHA CAFETERIA LTDA;89167015;RUA BOTANICO KUHLMANN, 419, RIO DO SUL, BRASIL;
18167;CAFE AMELLI;88102050;RUA CHARLES FERRARI SALA01, 250, SAO JOSE, BRASIL;
18259;REI DOS SABORES;89218105;AVENIDA SANTOS DUMONT ANEXO NEOGRID, 935, JOINVILLE, BRASIL;
241;RESTAURANTE MAX MOPP;89239400;RODOVIA SC 301, 5743 KM 80, JOINVILLE, BRASIL;
708;LANCH RIO SAO PAULO;89201250;RUA DONA FRANCISCA,411 SALA 02, JOINVILLE, BRASIL;
862;MUNDO SELV.COFFEE;88330000;AV. ATLANTICA,  2186 -LOJA 01, BALNEARIO CAMBORIU, BRASIL;
1111;LANCH HEISER;89250000;RUA DNA MATILDE, SN, JARAGUA DO SUL, BRASIL;
1394;BEBIBA CAFE LTDA;88330666;AVENIDA CENTRAL, 184 SALA 1, BALNEARIO CAMBORIU, BRASIL;
3560;CHURR O CUPIM;83215680;ROD BR 277 KM 06, SN, PARANAGUA, BRASIL;
6388;RESTAURANTE DO INDIO;88062000;CAMINHO DA COSTA DA LAGOA, SN, FLORIANOPOLIS, BRASIL;
7105;RESTAURANTE CLAUDIR;88190000;AV BELA VISTA, SN, GOVERNADOR CELSO RAMOS, BRASIL;
10937;DON VIGOLO;89245000;ROB BR 280,KM 21, 10765, ARAQUARI, BRASIL;
11750;CASA BAHIA MERCEARIA;89012001;RUA SAO PAULO, 443 SL 01, BLUMENAU, BRASIL;
12083;REST SABORES DA ROCA;81670080;RUA PROFESSOR JOAO SOARES BARCELOS, 1669, CURITIBA, BRASIL;
12317;DONA TORTA;89223005;AVENIDA ROLF WIEST, 333 SALA 7, JOINVILLE, BRASIL;
