id;nome;cep;endereco;Unnamed: 4;latitude;longitude
11981;BISTEK-SJ PRAIA COM;88103600;RUA DR CONSTANCIO KRUMMEL, 2183, SAO JOSE, BRASIL;;-27.6077066;-48.6271738
12526;BISTEK-FLP MORRO;88066000;RUA FRANCISCO THOMAZ DOS SANTOS, 1249, FLORIANOPOLIS, BRASIL;;-27.7167145;-48.5067993
18208;BISTEK ABRAAO;88085175;AVENIDA PATRICIO CALDEIRA DE ANDRADA, 0, FLORIANOPOLIS, BRASIL;;-27.605902;-48.5927434
16084;VIA ATACADISTA BENTO;95700382;RUA 10 DE NOVEMBRO, 432, BENTO GONCALVES, BRASIL;;-29.1740027;-51.5179092
16764;VIA ATACADISTA CAXIA;95013130;RUA CRISTOFORO RANDON, 518, CAXIAS DO SUL, BRASIL;;-29.1627984;-51.1949966
18199;PASSARELA EFAPI;89801000;AV SENADOR ATILIO FRANCISCO XAVIER FONTA, CHAPECO, BRASIL;;-27.0969823;-52.6165288
15767;SUPER PAO LJ37;84025000;AVENIDA GENERAL CARLOS CAVALCANTI, 22, PONTA GROSSA, BRASIL;;-25.0926256;-50.1200809
16027;OBA UVARANAS LJ13;84025000;AV GENERAL CARLOS CAVALCANTI, 4149, PONTA GROSSA, BRASIL;;-25.0926256;-50.1200809
16036;SUPERPAO LJ14 HIPER;85010020;AV PREFEITO MOACIR JULIO SILVESTRE, 901, GUARAPUAVA, BRASIL;;-25.3873356;-51.4608155
16062;SUPERPAO FBELTRAO 12;85601000;AV JULIO ASSIS CAVALHEIRO, 140, FRANCISCO BELTRAO, BRASIL;;-26.0808161;-53.0501502
16118;SUPERPAO LJ 23*;84600472;RUA JOAQUIM TAVORA, 373, UNIAO DA VITORIA, BRASIL;;-26.2324933;-51.0935042
16582;GERMANIA SAO RAF 041;89295000;RUA FRANCISCO GERY KAMIENKI, 473, RIO NEGRINHO, BRASIL;;-26.25443;-49.5186
14733;ASSAI ATACADI CIC;81270200;AV JUSCELINO KUBITSCHEK DE OLIVEIRA, 251, CURITIBA, BRASIL;;-25.4897231;-49.3448195
16635;ASSAI ALTO DA XV;82530195;AV MARECHAL HUMBERTO DE ALENCAR, 230, CURITIBA, BRASIL;;-25.4326741;-49.238367
11231;CASA FIESTA JD AMERI;81530000;AVENIDA FRANCISCO H DOS SANTOS, 1450, CURITIBA, BRASIL;;-25.456896;-49.2318877
17277;SUPER LUCAS-;89636000;AVENIDA 26 DE ABRIL, 0, ABDON BATISTA, BRASIL;;-27.60995;-51.0258
17278;SUPER LUCAS*;88598000;R DOM DANIEL HOSTIN, 804, CELSO RAMOS, BRASIL;;-27.63332;-51.33738
17279;SUPER LUCAS*;89613000;R CEL. HONORATO VIEIRA, 1640, ERVAL VELHO, BRASIL;;-27.27619;-51.4434
17281;SUPER LUCAS*;89620000;R CORONEL PEDRO CARLOS, 447, CAMPOS NOVOS, BRASIL;;-27.40064;-51.22613
319;SUP MOCAM LOJA II;89130000;RUA MARECHAL DEODORO DA FONSECA , 1090, INDAIAL, BRASIL;;-26.89643;-49.23293
321;SUP MOCAM LOJA III;89107000;RUA JOAO VIEIRA DE CAMPOS , 90, POMERODE, BRASIL;;-26.74081;-49.17591
12964;SUPER MYATA 9*;88210000;AV. HIRONIDO CONCEICAO DOS SANTOS, PORTO BELO, BRASIL;;-27.15711;-48.57559
15950;SUPERMERCADO RANCHO*;89254235;PREF. JOSE BAUER, 1402, JARAGUA DO SUL, BRASIL;;-26.4519895;-49.1191197
14246;ATACAREJO BRUDA;89466216;AV RUBENS RIBEIRO DA SILVA, 151, CANOINHAS, BRASIL;;-26.18775;-50.37806
14028;RIO VERDE TARUMA;82530230;AV VICTOR FERREIRA DO AMARAL, 816, CURITIBA, BRASIL;;-25.4292786;-49.2219818
16183;HARGER 4 BARRAS;83420000;RUA ARISTEU LUCIANO ADAMOSKI, 50, QUATRO BARRAS, BRASIL;;-25.3677;-49.07435
17669;SUPERMERCADO RIO VER;83450000;RUA ALFREDO STRAUB, 146, BOCAIUVA DO SUL, BRASIL;;-25.20706;-49.11332
2053;SUPER MAR CAIOBA;83260000;AV JUSCELINO KUBITSCHEK DE OLIVEI, 1468, MATINHOS, BRASIL;;-25.8186;-48.54144
243;MERCADO BAMBAM*;88056750;RUA J JAIME A RAMOS, SN, FLORIANOPOLIS, BRASIL;;-27.396534;-48.4269144
475;MERCADO VO ROQUE;88140000;PROCOPIO LOHN, 1275, SANTO AMARO DA IMPERATRIZ, BRASIL;;-27.6887;-48.77744
484;MAGIA LAGOA;88062120;RUA MANOEL SEVERINO DE OLIVEIRA, 639, FLORIANOPOLIS, BRASIL;;-27.6028294;-48.4687203
2265;STALL SITIO CERCADO;81900000;RUA IZAAC FERREIRA DA CRUZ, 2941, CURITIBA, BRASIL;;-25.5356223;-49.2711948
3285;SUP MERETH;89228714;RUA JOSE A. DO LIVRAMENTO, 19, JOINVILLE, BRASIL;;-26.2883925;-48.773278
3712;SUP SOL E MAR;89249000;RUA ANDRE RODRIGUES DE FREITAS, 685, ITAPOA, BRASIL;;-26.10919;-48.6059
4232;MERC CARVOEIRA*;88040600;RUA CAPITAO ROMUALDO DE BARROS, 905, FLORIANOPOLIS, BRASIL;;-27.6053539;-48.5300583
4391;MERC JOINVILLENSE;89211307;RUA SANTA CATARINA, 1345 SALA 02, JOINVILLE, BRASIL;;-26.3493268;-48.8469366
5945;MINI MERC ACORES*;88067200;ESTRADA JOAO BELARMINO DA SILVA, 2074, FLORIANOPOLIS, BRASIL;;-27.7796237;-48.5209451
6032;SUPER NEGRELLI;83870000;AV MIGUEL KOMARCHEWSKI, 1587, CAMPO DO TENENTE, BRASIL;;-25.98084;-49.68309
